scenario,seed,method,mae,coverage,gross_error_rate,apnea_false_output,step_latency
low_amplitude,13,consensus,0.11097242094836104,1.0,0.0,nan,nan
low_amplitude,13,hybrid,0.30965134044850484,1.0,0.0,nan,nan
low_amplitude,14,threshold,0.5002043863775983,1.0,0.0,nan,nan
low_amplitude,14,consensus,0.08467129021192593,0.9933333333333333,0.0,nan,nan
low_amplitude,14,hybrid,0.2439757295864754,0.9933333333333333,0.0,nan,nan
low_amplitude,15,threshold,0.2426348287265995,1.0,0.0,nan,nan
low_amplitude,15,consensus,0.11948993687970337,1.0,0.0,nan,nan
low_amplitude,15,hybrid,0.1476715682925558,1.0,0.0,nan,nan
low_amplitude,16,threshold,0.2270482525818223,1.0,0.0,nan,nan
low_amplitude,16,consensus,0.08265754961130894,1.0,0.0,nan,nan
low_amplitude,16,hybrid,0.13288151561994058,1.0,0.0,nan,nan
low_amplitude,17,threshold,0.3767992964888261,1.0,0.0,nan,nan
low_amplitude,17,consensus,0.0743969827509797,1.0,0.0,nan,nan
low_amplitude,17,hybrid,0.2107681920832454,0.9933333333333333,0.0,nan,nan
low_amplitude,18,threshold,0.36142215526566007,1.0,0.0,nan,nan
low_amplitude,18,consensus,0.1081455809811448,0.98,0.0,nan,nan
low_amplitude,18,hybrid,0.22941746854631048,1.0,0.0,nan,nan
low_amplitude,19,threshold,0.1734404934170955,1.0,0.0,nan,nan
low_amplitude,19,consensus,0.11096178761213253,1.0,0.0,nan,nan
low_amplitude,19,hybrid,0.11751914717447434,1.0,0.0,nan,nan
low_amplitude,20,threshold,0.5092502160845407,1.0,0.0,nan,nan
low_amplitude,20,consensus,0.1084027056765906,0.9933333333333333,0.0,nan,nan
low_amplitude,20,hybrid,0.27349191801390904,1.0,0.0,nan,nan
low_amplitude,21,threshold,1.2757738845568922,1.0,0.16,nan,nan
low_amplitude,21,consensus,0.08053633603924903,1.0,0.0,nan,nan
low_amplitude,21,hybrid,0.21659364995039093,0.8933333333333333,0.0,nan,nan
low_amplitude,22,threshold,0.4062729831587023,1.0,0.0,nan,nan
low_amplitude,22,consensus,0.07055102167389504,1.0,0.0,nan,nan
low_amplitude,22,hybrid,0.19357798943411367,1.0,0.0,nan,nan
low_amplitude,23,threshold,0.3487966531074477,1.0,0.0,nan,nan
low_amplitude,23,consensus,0.11021449097697127,1.0,0.0,nan,nan
low_amplitude,23,hybrid,0.180284253979738,1.0,0.0,nan,nan
low_amplitude,24,threshold,0.33261985016203593,1.0,0.0,nan,nan
low_amplitude,24,consensus,0.09025439914870814,1.0,0.0,nan,nan
low_amplitude,24,hybrid,0.1766463709974001,1.0,0.0,nan,nan
low_amplitude,25,threshold,0.6719214019857411,1.0,0.0,nan,nan
low_amplitude,25,consensus,0.09600248415345317,1.0,0.0,nan,nan
low_amplitude,25,hybrid,0.37206452674117185,1.0,0.0,nan,nan
low_amplitude,26,threshold,0.33809433277698797,1.0,0.0,nan,nan
low_amplitude,26,consensus,0.10144384834109935,0.9933333333333333,0.0,nan,nan
low_amplitude,26,hybrid,0.18498115736565293,1.0,0.0,nan,nan
low_amplitude,27,threshold,0.32844557400203084,1.0,0.0,nan,nan
low_amplitude,27,consensus,0.07783743354815278,0.9933333333333333,0.0,nan,nan
low_amplitude,27,hybrid,0.1926124542216144,1.0,0.0,nan,nan
low_amplitude,28,threshold,0.5702394595770323,1.0,0.0,nan,nan
low_amplitude,28,consensus,0.08992327045781597,1.0,0.0,nan,nan
low_amplitude,28,hybrid,0.31814387817340123,1.0,0.0,nan,nan
low_amplitude,29,threshold,0.2426999980288349,1.0,0.0,nan,nan
low_amplitude,29,consensus,0.10450797378604551,1.0,0.0,nan,nan
low_amplitude,29,hybrid,0.14219060464332314,1.0,0.0,nan,nan
baseline_drift,0,threshold,0.04544283523732825,1.0,0.0,nan,nan
baseline_drift,0,consensus,0.024690128656016257,1.0,0.0,nan,nan
baseline_drift,0,hybrid,0.03360877299587461,1.0,0.0,nan,nan
baseline_drift,1,threshold,0.04613636546360839,1.0,0.0,nan,nan
baseline_drift,1,consensus,0.02567270901395742,1.0,0.0,nan,nan
baseline_drift,1,hybrid,0.03423468858951583,1.0,0.0,nan,nan
baseline_drift,2,threshold,0.05506699517075968,1.0,0.0,nan,nan
baseline_drift,2,consensus,0.02488588788654198,1.0,0.0,nan,nan
baseline_drift,2,hybrid,0.03914133429241105,1.0,0.0,nan,nan
baseline_drift,3,threshold,0.06730299089602344,1.0,0.0,nan,nan
baseline_drift,3,consensus,0.027880061413240894,1.0,0.0,nan,nan
